airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,28,4,2022,3,17:00,23:35,jaipur,chennai,6h 35m,E,1 stop,3714,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,22:25,07:35,jaipur,chennai,9h 10m,E,1 stop,4079,20211229-2231,9893.6,3714
Air India,28,4,2022,3,20:35,23:35,jaipur,chennai,27h 00m,E,1 stop,4107,20211229-2231,9893.6,3714
Air India,28,4,2022,3,07:35,23:35,jaipur,chennai,16h 00m,E,1 stop,4122,20211229-2231,9893.6,3714
AirAsia India,28,4,2022,3,20:10,22:50,jaipur,chennai,2h 40m,E,direct,4316,20211229-2231,9893.6,3714
Air India,28,4,2022,3,17:00,08:00,jaipur,chennai,15h 00m,E,2 stops,4347,20211229-2231,9893.6,3714
Air India,28,4,2022,3,17:00,08:00,jaipur,chennai,39h 00m,E,2 stops,4347,20211229-2231,9893.6,3714
Air India,28,4,2022,3,17:00,08:00,jaipur,chennai,39h 00m,E,2 stops,4356,20211229-2231,9893.6,3714
GoFirst,28,4,2022,3,08:10,20:40,jaipur,chennai,12h 30m,E,1 stop,4645,20211229-2231,9893.6,3714
GoFirst,28,4,2022,3,18:45,07:45,jaipur,chennai,13h 00m,E,1 stop,90930,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,09:55,12:35,jaipur,chennai,2h 40m,E,direct,3714,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,17:05,22:05,jaipur,chennai,5h 00m,E,1 stop,3821,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,17:05,00:25,jaipur,chennai,7h 20m,E,1 stop,3821,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,14:10,20:20,jaipur,chennai,6h 10m,E,1 stop,4031,20211229-2231,9893.6,3714
IndiGo,28,4,2022,3,19:50,02:05,jaipur,chennai,6h 15m,E,1 stop,4054,20211229-2231,9893.6,3714
