airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,28,2,2022,0,07:35,08:55,jaipur,chennai,25h 20m,E,1 stop,3129,20211229-2142,15175.0,3129
Air India,28,2,2022,0,20:35,23:35,jaipur,chennai,27h 00m,E,1 stop,3786,20211229-2142,15175.0,3129
Air India,28,2,2022,0,20:35,08:55,jaipur,chennai,12h 20m,E,1 stop,3871,20211229-2142,15175.0,3129
Air India,28,2,2022,0,20:35,12:40,jaipur,chennai,16h 05m,E,1 stop,4094,20211229-2142,15175.0,3129
Air India,28,2,2022,0,20:35,19:00,jaipur,chennai,22h 25m,E,1 stop,90385,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,19:00,01:00,jaipur,chennai,6h 00m,E,1 stop,3129,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,14:15,21:35,jaipur,chennai,7h 20m,E,1 stop,3129,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,14:15,23:15,jaipur,chennai,9h 00m,E,1 stop,3845,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,14:15,01:00,jaipur,chennai,10h 45m,E,1 stop,3871,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,06:20,17:10,jaipur,chennai,10h 50m,E,1 stop,4094,20211229-2142,15175.0,3129
IndiGo,28,2,2022,0,19:00,06:30,jaipur,chennai,11h 30m,E,1 stop,90385,20211229-2142,15175.0,3129
Air India,28,2,2022,0,07:35,19:00,jaipur,chennai,11h 25m,E,1 stop,3129,20211229-2142,15175.0,3129
GoFirst,28,2,2022,0,21:45,07:40,jaipur,chennai,9h 55m,E,1 stop,3132,20211229-2142,15175.0,3129
GoFirst,28,2,2022,0,08:45,22:20,jaipur,chennai,13h 35m,E,1 stop,3822,20211229-2142,15175.0,3129
SpiceJet,28,2,2022,0,08:30,21:20,jaipur,chennai,12h 50m,E,1 stop,3824,20211229-2142,15175.0,3129
