airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
IndiGo,14,2,2022,0,22:25,06:25,jaipur,Bengaluru,8h 00m,E,1 stop,2980,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,22:25,08:55,jaipur,Bengaluru,10h 30m,E,1 stop,2980,20211230-1342,3495.9333333333334,2965
Air India,14,2,2022,0,10:15,12:50,jaipur,Bengaluru,2h 35m,E,direct,3190,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,05:15,07:50,jaipur,Bengaluru,2h 35m,E,direct,3213,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,12:00,14:35,jaipur,Bengaluru,2h 35m,E,direct,3256,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,18:30,21:05,jaipur,Bengaluru,2h 35m,E,direct,4983,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,22:20,01:00,jaipur,Bengaluru,2h 40m,E,direct,5319,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,17:15,20:50,jaipur,Bengaluru,3h 35m,E,1 stop,2965,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,11:50,15:30,jaipur,Bengaluru,3h 40m,E,1 stop,2980,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,10:25,14:45,jaipur,Bengaluru,4h 20m,E,1 stop,3130,20211230-1342,3495.9333333333334,2965
GoFirst,14,2,2022,0,21:30,00:00,jaipur,Bengaluru,2h 30m,E,direct,3460,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,17:15,20:50,jaipur,Bengaluru,3h 35m,E,direct,3490,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,11:50,15:30,jaipur,Bengaluru,3h 40m,E,direct,3495,20211230-1342,3495.9333333333334,2965
AirAsia India,14,2,2022,0,10:25,14:45,jaipur,Bengaluru,4h 20m,E,direct,3495,20211230-1342,3495.9333333333334,2965
IndiGo,14,2,2022,0,04:50,10:35,jaipur,Bengaluru,5h 45m,E,1 stop,3503,20211230-1342,3495.9333333333334,2965
