airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,31,3,2022,3,07:35,08:30,jaipur,new delhi,0h 55m,E,direct,1772,20211230-1006,7699.666666666667,1772
Air India,31,3,2022,3,20:35,21:35,jaipur,new delhi,1h 00m,E,direct,1896,20211230-1006,7699.666666666667,1772
Air India,31,3,2022,3,17:00,18:00,jaipur,new delhi,1h 00m,E,direct,1909,20211230-1006,7699.666666666667,1772
IndiGo,31,3,2022,3,07:35,08:35,jaipur,new delhi,1h 00m,E,direct,1937,20211230-1006,7699.666666666667,1772
IndiGo,31,3,2022,3,14:10,15:15,jaipur,new delhi,1h 05m,E,direct,1996,20211230-1006,7699.666666666667,1772
IndiGo,31,3,2022,3,21:30,22:35,jaipur,new delhi,1h 05m,E,direct,2054,20211230-1006,7699.666666666667,1772
IndiGo,31,3,2022,3,19:50,20:55,jaipur,new delhi,1h 05m,E,direct,2070,20211230-1006,7699.666666666667,1772
AirAsia India,31,3,2022,3,23:50,01:00,jaipur,new delhi,1h 10m,E,direct,2070,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,12:40,20:35,jaipur,new delhi,7h 55m,E,1 stop,2101,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,12:40,00:10,jaipur,new delhi,11h 30m,E,1 stop,2141,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,08:50,20:35,jaipur,new delhi,11h 45m,E,1 stop,2187,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,08:10,14:20,jaipur,new delhi,6h 10m,E,1 stop,87888,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,18:45,01:10,jaipur,new delhi,6h 25m,E,1 stop,1772,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,18:45,01:55,jaipur,new delhi,7h 10m,E,1 stop,1772,20211230-1006,7699.666666666667,1772
GoFirst,31,3,2022,3,08:10,15:55,jaipur,new delhi,7h 45m,E,1 stop,1930,20211230-1006,7699.666666666667,1772
