airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,30,6,2022,3,17:00,18:00,jaipur,new delhi,1h 00m,E,direct,1803,20211230-1156,7941.066666666667,1803
AirAsia India,30,6,2022,3,23:50,01:00,jaipur,new delhi,1h 10m,E,direct,2153,20211230-1156,7941.066666666667,1803
Air India,30,6,2022,3,07:35,08:30,jaipur,new delhi,0h 55m,E,direct,2188,20211230-1156,7941.066666666667,1803
Air India,30,6,2022,3,20:35,21:35,jaipur,new delhi,1h 00m,E,direct,2194,20211230-1156,7941.066666666667,1803
IndiGo,30,6,2022,3,07:35,08:35,jaipur,new delhi,1h 00m,E,direct,2217,20211230-1156,7941.066666666667,1803
IndiGo,30,6,2022,3,14:10,15:15,jaipur,new delhi,1h 05m,E,direct,2290,20211230-1156,7941.066666666667,1803
IndiGo,30,6,2022,3,19:50,20:55,jaipur,new delhi,1h 05m,E,direct,2290,20211230-1156,7941.066666666667,1803
IndiGo,30,6,2022,3,21:30,22:35,jaipur,new delhi,1h 05m,E,direct,2298,20211230-1156,7941.066666666667,1803
Air India,30,6,2022,3,14:00,10:15,jaipur,new delhi,20h 15m,E,1 stop,2363,20211230-1156,7941.066666666667,1803
Air India,30,6,2022,3,14:00,11:10,jaipur,new delhi,21h 10m,E,1 stop,2403,20211230-1156,7941.066666666667,1803
Air India,30,6,2022,3,14:00,11:10,jaipur,new delhi,21h 10m,E,2 stops,2661,20211230-1156,7941.066666666667,1803
GoFirst,30,6,2022,3,18:45,08:05,jaipur,new delhi,13h 20m,E,1 stop,88432,20211230-1156,7941.066666666667,1803
GoFirst,30,6,2022,3,18:45,10:15,jaipur,new delhi,15h 30m,E,1 stop,1803,20211230-1156,7941.066666666667,1803
"GoFirst, Air India",30,6,2022,3,12:40,21:00,jaipur,new delhi,8h 20m,E,1 stop,2008,20211230-1156,7941.066666666667,1803
GoFirst,30,6,2022,3,18:45,01:10,jaipur,new delhi,6h 25m,E,1 stop,2013,20211230-1156,7941.066666666667,1803
