airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,21,5,2022,5,17:00,18:00,jaipur,new delhi,1h 00m,E,direct,1800,20211230-1109,7928.2,1800
AirAsia India,21,5,2022,5,23:50,01:00,jaipur,new delhi,1h 10m,E,direct,2153,20211230-1109,7928.2,1800
Air India,21,5,2022,5,07:35,08:30,jaipur,new delhi,0h 55m,E,direct,2194,20211230-1109,7928.2,1800
Air India,21,5,2022,5,20:35,21:35,jaipur,new delhi,1h 00m,E,direct,2298,20211230-1109,7928.2,1800
IndiGo,21,5,2022,5,07:35,08:35,jaipur,new delhi,1h 00m,E,direct,2298,20211230-1109,7928.2,1800
IndiGo,21,5,2022,5,21:30,22:35,jaipur,new delhi,1h 05m,E,direct,2298,20211230-1109,7928.2,1800
IndiGo,21,5,2022,5,19:50,20:55,jaipur,new delhi,1h 05m,E,direct,2363,20211230-1109,7928.2,1800
IndiGo,21,5,2022,5,14:10,15:15,jaipur,new delhi,1h 05m,E,direct,2403,20211230-1109,7928.2,1800
Air India,21,5,2022,5,14:00,10:15,jaipur,new delhi,20h 15m,E,1 stop,2672,20211230-1109,7928.2,1800
Air India,21,5,2022,5,14:00,11:10,jaipur,new delhi,21h 10m,E,1 stop,88432,20211230-1109,7928.2,1800
Air India,21,5,2022,5,14:00,11:10,jaipur,new delhi,21h 10m,E,2 stops,1800,20211230-1109,7928.2,1800
GoFirst,21,5,2022,5,08:10,14:20,jaipur,new delhi,6h 10m,E,1 stop,2013,20211230-1109,7928.2,1800
GoFirst,21,5,2022,5,18:45,01:10,jaipur,new delhi,6h 25m,E,1 stop,2013,20211230-1109,7928.2,1800
GoFirst,21,5,2022,5,08:10,15:55,jaipur,new delhi,7h 45m,E,1 stop,2063,20211230-1109,7928.2,1800
GoFirst,21,5,2022,5,08:10,21:10,jaipur,new delhi,13h 00m,E,1 stop,2123,20211230-1109,7928.2,1800
