airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
Air India,15,5,2022,6,14:00,15:50,jaipur,mumbai,1h 50m,E,direct,2321,20211229-1940,8397.866666666667,2291
IndiGo,15,5,2022,6,14:15,16:05,jaipur,mumbai,1h 50m,E,direct,2332,20211229-1940,8397.866666666667,2291
SpiceJet,15,5,2022,6,19:20,21:35,jaipur,mumbai,2h 15m,E,direct,2428,20211229-1940,8397.866666666667,2291
AirAsia India,15,5,2022,6,10:25,12:25,jaipur,mumbai,2h 00m,E,direct,2503,20211229-1940,8397.866666666667,2291
AirAsia India,15,5,2022,6,20:25,22:25,jaipur,mumbai,2h 00m,E,direct,2543,20211229-1940,8397.866666666667,2291
GoFirst,15,5,2022,6,08:10,10:00,jaipur,mumbai,1h 50m,E,direct,2667,20211229-1940,8397.866666666667,2291
GoFirst,15,5,2022,6,18:45,20:45,jaipur,mumbai,2h 00m,E,direct,2667,20211229-1940,8397.866666666667,2291
IndiGo,15,5,2022,6,06:05,07:50,jaipur,mumbai,1h 45m,E,direct,3080,20211229-1940,8397.866666666667,2291
IndiGo,15,5,2022,6,19:05,20:50,jaipur,mumbai,1h 45m,E,direct,3080,20211229-1940,8397.866666666667,2291
SpiceJet,15,5,2022,6,08:00,09:45,jaipur,mumbai,1h 45m,E,direct,3450,20211229-1940,8397.866666666667,2291
Air India,15,5,2022,6,17:00,21:15,jaipur,mumbai,4h 15m,E,1 stop,89579,20211229-1940,8397.866666666667,2291
Air India,15,5,2022,6,17:00,22:10,jaipur,mumbai,5h 10m,E,1 stop,2291,20211229-1940,8397.866666666667,2291
IndiGo,15,5,2022,6,21:05,05:45,jaipur,mumbai,8h 40m,E,1 stop,2335,20211229-1940,8397.866666666667,2291
AirAsia India,15,5,2022,6,23:50,06:35,jaipur,mumbai,6h 45m,E,1 stop,2346,20211229-1940,8397.866666666667,2291
Air India,15,5,2022,6,07:35,21:15,jaipur,mumbai,13h 40m,E,1 stop,2346,20211229-1940,8397.866666666667,2291
