airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
GoFirst,3,5,2022,1,14:40,16:35,Hyderabad,Jaipur,1h 55m,E,direct,2687,20220106-1904,2859.8,2668
AirAsia India,3,5,2022,1,09:25,11:20,Hyderabad,Jaipur,1h 55m,E,direct,2717,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,11:40,13:40,Hyderabad,Jaipur,2h 00m,E,direct,2867,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,19:50,21:55,Hyderabad,Jaipur,2h 05m,E,direct,2867,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,13:55,19:05,Hyderabad,Jaipur,5h 10m,E,1 stop,2942,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,04:30,10:20,Hyderabad,Jaipur,5h 50m,E,1 stop,3955,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,10:00,19:05,Hyderabad,Jaipur,9h 05m,E,1 stop,2668,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,20:30,07:55,Hyderabad,Jaipur,11h 25m,E,1 stop,2712,20220106-1904,2859.8,2668
Air India,3,5,2022,1,09:45,12:55,Hyderabad,Jaipur,27h 10m,E,1 stop,2717,20220106-1904,2859.8,2668
Air India,3,5,2022,1,16:15,12:55,Hyderabad,Jaipur,20h 40m,E,1 stop,2717,20220106-1904,2859.8,2668
Air India,3,5,2022,1,09:45,20:00,Hyderabad,Jaipur,10h 15m,E,1 stop,2717,20220106-1904,2859.8,2668
Air India,3,5,2022,1,16:15,07:10,Hyderabad,Jaipur,14h 55m,E,1 stop,2767,20220106-1904,2859.8,2668
Air India,3,5,2022,1,09:45,07:10,Hyderabad,Jaipur,21h 25m,E,1 stop,2774,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,17:45,23:15,Hyderabad,Jaipur,5h 30m,E,1 stop,2863,20220106-1904,2859.8,2668
IndiGo,3,5,2022,1,10:45,18:35,Hyderabad,Jaipur,7h 50m,E,1 stop,2927,20220106-1904,2859.8,2668
