airlines,Date,Month,Year,Weekday,Dep_Time,Ar_Time,depr_Citie,Ar_Citie,Travel_Time,Airline_Cabin,no_stops,Price,timestamp,avg_Price,min_Price
GoFirst,25,4,2022,0,14:40,16:35,Hyderabad,Jaipur,1h 55m,E,direct,2687,20220106-1854,2853.6,2668
AirAsia India,25,4,2022,0,09:25,11:20,Hyderabad,Jaipur,1h 55m,E,direct,2717,20220106-1854,2853.6,2668
IndiGo,25,4,2022,0,11:40,13:40,Hyderabad,Jaipur,2h 00m,E,direct,2867,20220106-1854,2853.6,2668
IndiGo,25,4,2022,0,19:50,21:55,Hyderabad,Jaipur,2h 05m,E,direct,2867,20220106-1854,2853.6,2668
IndiGo,25,4,2022,0,04:30,10:20,Hyderabad,Jaipur,5h 50m,E,1 stop,3000,20220106-1854,2853.6,2668
Air India,25,4,2022,0,06:40,12:55,Hyderabad,Jaipur,6h 15m,E,1 stop,4006,20220106-1854,2853.6,2668
Air India,25,4,2022,0,16:15,12:55,Hyderabad,Jaipur,20h 40m,E,1 stop,2668,20220106-1854,2853.6,2668
Air India,25,4,2022,0,09:45,12:55,Hyderabad,Jaipur,27h 10m,E,1 stop,2712,20220106-1854,2853.6,2668
GoFirst,25,4,2022,0,08:25,19:00,Hyderabad,Jaipur,10h 35m,E,1 stop,2717,20220106-1854,2853.6,2668
IndiGo,25,4,2022,0,20:30,07:55,Hyderabad,Jaipur,11h 25m,E,1 stop,2717,20220106-1854,2853.6,2668
Air India,25,4,2022,0,05:30,13:15,Hyderabad,Jaipur,7h 45m,E,1 stop,2717,20220106-1854,2853.6,2668
Air India,25,4,2022,0,21:50,13:15,Hyderabad,Jaipur,15h 25m,E,1 stop,2767,20220106-1854,2853.6,2668
Air India,25,4,2022,0,09:45,20:00,Hyderabad,Jaipur,10h 15m,E,1 stop,2774,20220106-1854,2853.6,2668
Air India,25,4,2022,0,16:15,07:10,Hyderabad,Jaipur,14h 55m,E,1 stop,2794,20220106-1854,2853.6,2668
Air India,25,4,2022,0,06:40,20:00,Hyderabad,Jaipur,13h 20m,E,1 stop,2794,20220106-1854,2853.6,2668
